content,content_en,compound_score,vader_norm,vader_label,score,afinn_norm,afinn_label,polarity_score,textblob_norm,textblob_label,avg_score,soft_voting_label,avg_norm,sv_label_norm1,sv_label_norm2,sv_label_norm3,sv_label_norm4,sv_label_norm5
kecewa dgn Traveloka pembayaran tetap waktu tp skrg saya mau pakai Tpaylater nya ga bisa ga konsisten dgn promosi kalian. team analisis kalian itu ga bisa cek mana pembayaran yg bnr dan tidak ini malah buat kecewa costumer kalian. kelar cicilan ditraveloka mau tutup akun lah.,disappointed with Traveloka fixed payment time but now I want to use Tpaylater it can't be inconsistent with your promotion. your analysis team can't check which payments are correct and not this even makes your customers disappointed. finished installments ditraveloka want to close the account lah.,-0.6486,1.7570000000000001,-1,-2.0,4.411764705882353,-1,-0.4666666666666666,2.666666666666667,-1,-1.0384222222222224,-1,2.9451437908496736,-1,-1,-1,-1,-1
cepat tepat singkat luar biasa,fast precise short excellent,0.5719,7.859499999999999,1,3.0,5.882352941176471,1,0.4,7.0,1,1.3239666666666665,1,6.913950980392156,1,1,1,1,1
puas dengan aplikasi ini 👍,satisfied with this app 👍,0.4215,7.1075,1,2.0,5.588235294117647,1,0.5,7.5,1,0.9738333333333333,1,6.731911764705882,1,1,1,1,1
Sangat memuaskan proses cepat,Very satisfying fast process,0.5095,7.5475,1,0.0,5.0,0,0.42500000000000004,7.125,1,0.3115,1,6.5575,1,1,1,1,1
Mantap 💯🙏,Great 💯🙏,0.6249,8.1245,1,3.0,5.882352941176471,1,0.8,9.0,1,1.4749666666666668,1,7.6689509803921565,1,1,1,1,1
. d .. 'zzo,. d .. 'zzo,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
Good job....,Good job....,0.4404,7.202,1,3.0,5.882352941176471,1,0.7,8.5,1,1.3801333333333332,1,7.194784313725489,1,1,1,1,1
mudah pesan hotel dan banyak promonya,Easy to book hotels and lots of promotions,0.4404,7.202,1,1.0,5.294117647058823,1,0.43333333333333335,7.166666666666667,1,0.6245777777777778,1,6.554261437908497,1,1,1,1,1
mudah dan aman,easy and safe,0.7003,8.5015,1,2.0,5.588235294117647,1,0.4666666666666667,7.333333333333334,1,1.0556555555555556,1,7.141022875816994,1,1,1,1,1
terima kasih,Thank you.,0.3612,6.806,1,2.0,5.588235294117647,1,0.0,5.0,0,0.7870666666666667,1,5.798078431372549,1,0,0,0,0
