content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
kecewa dgn Traveloka pembayaran tetap waktu tp skrg saya mau pakai Tpaylater nya ga bisa ga konsisten dgn promosi kalian. team analisis kalian itu ga bisa cek mana pembayaran yg bnr dan tidak ini malah buat kecewa costumer kalian. kelar cicilan ditraveloka mau tutup akun lah.,kecewa dgn Traveloka pembayaran tetap waktu tp skrg saya mau pakai Tpaylater nya ga bisa ga konsisten dgn promosi kalian  team analisis kalian itu ga bisa cek mana pembayaran yg bnr dan tidak ini malah buat kecewa costumer kalian  kelar cicilan ditraveloka mau tutup akun lah ,kecewa dgn traveloka pembayaran tetap waktu tp skrg saya mau pakai tpaylater nya ga bisa ga konsisten dgn promosi kalian  team analisis kalian itu ga bisa cek mana pembayaran yg bnr dan tidak ini malah buat kecewa costumer kalian  kelar cicilan ditraveloka mau tutup akun lah ,kecewa dengan traveloka pembayaran tetap waktu tapi sekarang saya mau pakai tpaylater nya tidak bisa tidak konsisten dengan promosi kalian team analisis kalian itu tidak bisa cek mana pembayaran yang benar dan tidak ini malah buat kecewa costumer kalian kelar cicilan ditraveloka mau tutup akun lah,"['kecewa', 'dengan', 'traveloka', 'pembayaran', 'tetap', 'waktu', 'tapi', 'sekarang', 'saya', 'mau', 'pakai', 'tpaylater', 'nya', 'tidak', 'bisa', 'tidak', 'konsisten', 'dengan', 'promosi', 'kalian', 'team', 'analisis', 'kalian', 'itu', 'tidak', 'bisa', 'cek', 'mana', 'pembayaran', 'yang', 'benar', 'dan', 'tidak', 'ini', 'malah', 'buat', 'kecewa', 'costumer', 'kalian', 'kelar', 'cicilan', 'ditraveloka', 'mau', 'tutup', 'akun', 'lah']","['kecewa', 'traveloka', 'pembayaran', 'pakai', 'tpaylater', 'nya', 'konsisten', 'promosi', 'team', 'analisis', 'cek', 'pembayaran', 'kecewa', 'costumer', 'kelar', 'cicilan', 'ditraveloka', 'tutup', 'akun']",kecewa traveloka bayar pakai tpaylater nya konsisten promosi team analisis cek bayar kecewa costumer kelar cicil ditraveloka tutup akun
cepat tepat singkat luar biasa,cepat tepat singkat luar biasa,cepat tepat singkat luar biasa,cepat tepat singkat luar biasa,"['cepat', 'tepat', 'singkat', 'luar', 'biasa']","['cepat', 'singkat']",cepat singkat
puas dengan aplikasi ini 👍,puas dengan aplikasi ini ,puas dengan aplikasi ini ,puas dengan aplikasi ini,"['puas', 'dengan', 'aplikasi', 'ini']","['puas', 'aplikasi']",puas aplikasi
Sangat memuaskan proses cepat,Sangat memuaskan proses cepat,sangat memuaskan proses cepat,sangat memuaskan proses cepat,"['sangat', 'memuaskan', 'proses', 'cepat']","['memuaskan', 'proses', 'cepat']",muas proses cepat
Mantap 💯🙏,Mantap ,mantap ,mantap,['mantap'],['mantap'],mantap
. d .. 'zzo,  d     zzo,  d     zzo,di zzo,"['di', 'zzo']",['zzo'],zzo
Good job....,Good job    ,good job    ,good job,"['good', 'job']","['good', 'job']",good job
mudah pesan hotel dan banyak promonya,mudah pesan hotel dan banyak promonya,mudah pesan hotel dan banyak promonya,mudah pesan hotel dan banyak promonya,"['mudah', 'pesan', 'hotel', 'dan', 'banyak', 'promonya']","['mudah', 'pesan', 'hotel', 'promonya']",mudah pesan hotel promonya
mudah dan aman,mudah dan aman,mudah dan aman,mudah dan aman,"['mudah', 'dan', 'aman']","['mudah', 'aman']",mudah aman
terima kasih,terima kasih,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",terima kasih
murah dan tepat waktu jg bnyak promo,murah dan tepat waktu jg bnyak promo,murah dan tepat waktu jg bnyak promo,murah dan tepat waktu juga banyak promo,"['murah', 'dan', 'tepat', 'waktu', 'juga', 'banyak', 'promo']","['murah', 'promo']",murah promo
bagus kadang ada kendala juga,bagus kadang ada kendala juga,bagus kadang ada kendala juga,bagus kadang ada kendala juga,"['bagus', 'kadang', 'ada', 'kendala', 'juga']","['bagus', 'kadang', 'kendala']",bagus kadang kendala
Telah lama saya menggunakan Traveloka terutama untuk pemesanan tiket pesawat Surabaya-Balikpapan dan sebaliknya. Keberadaannya sangat membantu.,Telah lama saya menggunakan Traveloka terutama untuk pemesanan tiket pesawat Surabaya Balikpapan dan sebaliknya  Keberadaannya sangat membantu ,telah lama saya menggunakan traveloka terutama untuk pemesanan tiket pesawat surabaya balikpapan dan sebaliknya  keberadaannya sangat membantu ,telah lama saya menggunakan traveloka terutama untuk pemesanan tiket pesawat surabaya balikpapan dan sebaliknya keberadaannya sangat membantu,"['telah', 'lama', 'saya', 'menggunakan', 'traveloka', 'terutama', 'untuk', 'pemesanan', 'tiket', 'pesawat', 'surabaya', 'balikpapan', 'dan', 'sebaliknya', 'keberadaannya', 'sangat', 'membantu']","['traveloka', 'pemesanan', 'tiket', 'pesawat', 'surabaya', 'balikpapan', 'keberadaannya', 'membantu']",traveloka mesan tiket pesawat surabaya balikpapan ada bantu
"Ada limit tapi tidak bisa digunakan, hmmm",Ada limit tapi tidak bisa digunakan  hmmm,ada limit tapi tidak bisa digunakan  hmmm,ada limit tapi tidak bisa digunakan hmmm,"['ada', 'limit', 'tapi', 'tidak', 'bisa', 'digunakan', 'hmmm']","['limit', 'hmmm']",limit hmmm
Oke,Oke,oke,oke,['oke'],['oke'],oke
puas,puas,puas,puas,['puas'],['puas'],puas
fake hotel nya,fake hotel nya,fake hotel nya,fake hotel nya,"['fake', 'hotel', 'nya']","['fake', 'hotel', 'nya']",fake hotel nya
